sha,filename,url,lines,title,comment,priority,category,additional,id,private
"4b825dc642cb6eb9a060e54bf8d69288fbee4904","\src\service\Service.java","","15:4-19:5","constructor problem","this is not fine","2","Code-Style","","4bc2f898-3cb9-4b20-98d8-3eab2ee3052f","0"
"b2201b4a00d136f6d9c97a6706114d61d6e06fe0","\src\domain\Student.java","","6:3-6:29","Missing Attribute","The professor name attribute is missing","2","Architecture","","0fbb8522-2031-4468-8231-cd34faf3976a","0"
